condition,top_quartile_share,best_individual_share,selection_entropy
elite,0.25,0.05,4.321928094887363
roulette,0.46699999999999997,0.109,3.964753011307339
universal,0.44699999999999995,0.1,4.003841380394522
ranking,0.44599999999999995,0.106,3.9794862376313853
boltzmann,1.0,0.998,0.020814071335501033
tournament_2,0.472,0.099,3.966925496782508
tournament_5,0.806,0.26,2.9553275515151327
probabilistic_0_6,0.292,0.064,4.299392576782543
