phase,target,condition,runs,successes_90_percent_reduction,median_best_error,q1_best_error,q3_best_error,median_best_fitness,q1_best_fitness,q3_best_fitness,median_elapsed_seconds,q1_elapsed_seconds,q3_elapsed_seconds,median_normalized_auc,q1_normalized_auc,q3_normalized_auc,median_final_diversity,q1_final_diversity,q3_final_diversity
mutation,flag,multigene_local_balanced,5,5,0.0017178050414065407,0.001485541656749846,0.002329173227025015,0.9982821949585935,0.997670826772975,0.9985144583432501,14.909950958000024,14.64282983299995,14.959621542000036,0.09754779095123954,0.09638459743496394,0.11036576483299815,0.0008302897808925588,0.0005073479479268212,0.0010097699255972419
mutation,flag,single_local,5,5,0.001480945591744323,0.0013299562744487773,0.0019023685182133856,0.9985190544082557,0.9980976314817867,0.9986700437255512,14.78292662499996,14.744360707999931,14.833643458000012,0.09329768303890228,0.07940003578488147,0.09459801828212787,0.0024375539843860265,0.0023663060265859126,0.0024743839243148527
mutation,sign,multigene_local_balanced,5,0,0.02156335373655635,0.019502427332588806,0.02245654271149273,0.9784366462634436,0.9775434572885072,0.9804975726674112,55.02245495799991,54.676041291,55.599173291,0.2730726429388619,0.271282468937576,0.2943094548463503,0.0008314003893189472,0.0006369460248872972,0.0008379020394370599
mutation,sign,single_local,5,0,0.019957032195594287,0.018882861241809722,0.022120087868117474,0.9800429678044057,0.9778799121318825,0.9811171387581903,55.196373249999965,54.48577216699999,55.230968292,0.28725957658458895,0.26710613872239947,0.2903567780641749,0.000713748034875565,0.0006749939027478614,0.0008900894184023543
