phase,target,condition,runs,successes_90_percent_reduction,median_best_error,q1_best_error,q3_best_error,median_best_fitness,q1_best_fitness,q3_best_fitness,median_elapsed_seconds,q1_elapsed_seconds,q3_elapsed_seconds,median_normalized_auc,q1_normalized_auc,q3_normalized_auc,median_final_diversity,q1_final_diversity,q3_final_diversity
selection,flag,boltzmann,5,5,0.0020425732929337313,0.001892722502944533,0.002511093489683455,0.9979574267070662,0.9974889065103165,0.9981072774970554,14.478802540999993,14.461728332999996,14.527163999999999,0.11296312270426971,0.1119212395594338,0.12226030580359433,0.002970782739272223,0.00268314021823614,0.0031891786096840406
selection,flag,elite,5,5,0.002034140181126917,0.0018323271574424978,0.0020923690827093365,0.9979658598188731,0.9979076309172906,0.9981676728425575,14.454985165999972,14.412901583000007,14.476895582999987,0.1188020672967812,0.11380163536135404,0.12315576136852936,0.002068927575682287,0.0018748794003840314,0.002139372098285082
selection,flag,probabilistic_0_6,5,5,0.0023821786339808253,0.0017254276438244144,0.0028015018643623027,0.9976178213660192,0.9971984981356377,0.9982745723561756,14.402571999999964,14.372621374999994,14.403585958,0.11189483016054294,0.10863831700109262,0.11313382908078345,0.002209745840784134,0.002099620161788075,0.00232478233322194
selection,flag,ranking,5,5,0.0017218137254901961,0.0015445238552937515,0.002962076170337416,0.9982781862745098,0.9970379238296626,0.9984554761447062,14.26153875,14.253694999999993,14.319794583000032,0.10112878419223799,0.09936172028383747,0.10171554921321174,0.0015928498594550884,0.0014721653818055354,0.002278069460408835
selection,flag,roulette,5,5,0.0029850088183421514,0.0026262582919878187,0.0030682357365604193,0.9970149911816578,0.9969317642634395,0.9973737417080122,14.493447082999978,14.47848183299999,14.495113625000045,0.12501184732398501,0.11603220575451935,0.1294711481226758,0.0032492265116379608,0.003154977907031604,0.004153519985894157
selection,flag,tournament_2,5,5,0.002182190686732209,0.002051778772511183,0.0027043780475153024,0.9978178093132678,0.9972956219524847,0.9979482212274888,14.44338716599998,14.355329042000008,14.447052541999994,0.10942065647447798,0.09557830137547933,0.11588684807096489,0.001178275481080713,0.0009863087547508633,0.0013365661922314905
selection,flag,tournament_5,5,5,0.0017178050414065407,0.001485541656749846,0.002329173227025015,0.9982821949585935,0.997670826772975,0.9985144583432501,14.393401291999997,14.269630374999963,14.539982082999984,0.09754779095123954,0.09638459743496394,0.11036576483299815,0.0008302897808925588,0.0005073479479268212,0.0010097699255972419
selection,flag,universal,5,5,0.0026302116707249347,0.0022100493247407898,0.002982115776593862,0.997369788329275,0.9970178842234061,0.9977899506752592,14.308445707999994,14.241840208999996,14.448228375000014,0.11360279105165287,0.10764268948449346,0.11412838163533645,0.0018314670489952421,0.0016563494650143325,0.0019915300236773886
