phase,target,condition,runs,successes_90_percent_reduction,median_best_error,q1_best_error,q3_best_error,median_best_fitness,q1_best_fitness,q3_best_fitness,median_elapsed_seconds,q1_elapsed_seconds,q3_elapsed_seconds,median_normalized_auc,q1_normalized_auc,q3_normalized_auc,median_final_diversity,q1_final_diversity,q3_final_diversity
crossover,flag,ranking__one_point,5,5,0.0030730930716513184,0.002972191327511397,0.004215794978121968,0.9969269069283487,0.995784205021878,0.9970278086724886,14.272597667000127,14.19591837499999,14.322968916999969,0.12666004444500628,0.12454501631852054,0.1355061516268012,0.0017317795084582012,0.0013831896780846199,0.002106594570664926
crossover,flag,ranking__uniform,5,5,0.0017218137254901961,0.0015445238552937515,0.002962076170337416,0.9982781862745098,0.9970379238296626,0.9984554761447062,14.3111322499999,14.290959041999997,14.353406415999984,0.10112878419223799,0.09936172028383747,0.10171554921321174,0.0015928498594550884,0.0014721653818055354,0.002278069460408835
crossover,flag,tournament_5__one_point,5,5,0.002313758291987819,0.002073591964018723,0.002609399696697851,0.9976862417080122,0.9973906003033022,0.9979264080359813,14.182370666999986,14.175552709000044,14.223738666999907,0.11590729206509251,0.10715949585103786,0.13035634987147005,0.0010907946272312918,0.0008692641581547535,0.0012441248004420255
crossover,flag,tournament_5__uniform,5,5,0.0017178050414065407,0.001485541656749846,0.002329173227025015,0.9982821949585935,0.997670826772975,0.9985144583432501,14.409656292000022,14.367322833999992,14.556372207999857,0.09754779095123954,0.09638459743496394,0.11036576483299815,0.0008302897808925588,0.0005073479479268212,0.0010097699255972419
crossover,sign,ranking__one_point,5,0,0.035031193486835546,0.028312370699913953,0.03532183643246696,0.9649688065131644,0.964678163567533,0.971687629300086,53.263134958,53.163592333,53.65622824999991,0.3723394658668788,0.35246190708216624,0.3938382089444039,0.0006718996032034101,0.0006547602476625377,0.0007651055104690534
crossover,sign,ranking__uniform,5,0,0.025112330880064444,0.023665591327307976,0.02549105172206864,0.9748876691199355,0.9745089482779313,0.9763344086726921,52.99616449999996,52.85626258399998,53.16744025000003,0.30654693557377194,0.29011051608281996,0.31020769025210215,0.001290243277180675,0.0012498779288164727,0.001344820335008376
crossover,sign,tournament_5__one_point,5,0,0.02875031911820647,0.026891405981419435,0.02903006881765052,0.9712496808817935,0.9709699311823495,0.9731085940185805,52.91281070899993,52.87242524999999,53.11760570800001,0.34595151997770635,0.33172039255899927,0.3587632218892158,0.0005510408083417523,0.000543548741520548,0.0005519275484670846
crossover,sign,tournament_5__uniform,5,0,0.02156335373655635,0.019502427332588806,0.02245654271149273,0.9784366462634436,0.9775434572885072,0.9804975726674112,53.232997499999954,53.20000175000001,53.67805954200003,0.2730726429388619,0.271282468937576,0.2943094548463503,0.0008314003893189472,0.0006369460248872972,0.0008379020394370599
